DATE,TIME,MODE,CNO,LAT,LON,ALT,ROLL,PITCH,YAW,GPS_VAL,RSSI,BAT,ACC_N,ACC_E,ACC_D,VEL_N,VEL_E,VEL_D,ODOM_X,ODOM_Y,ODOM_TH
20241113.0,6500720.0,115.0,36.0,35.5090826,128.2946559,79.121,-0.6175826787948608,-2.030268669128418,236.26223754882812,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942186480994412,-4.293992350315412,-1.3927288458744242
20241113.0,6500720.0,115.0,36.0,35.5090826,128.2946559,79.121,-0.6175826787948608,-2.030268669128418,236.26223754882812,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942451260475623,-4.2954635622466,-1.3927288458744242
20241113.0,6500720.0,115.0,36.0,35.5090826,128.2946559,79.121,-0.6175826787948608,-2.030268669128418,236.26223754882812,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9427177376266584,-4.296944207054115,-1.3927288458744242
20241113.0,6500720.0,115.0,36.0,35.5090826,128.2946559,79.121,-0.6175826787948608,-2.030268669128418,236.26223754882812,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.942983765021882,-4.298422352853349,-1.3927288458744242
20241113.0,6500720.0,115.0,36.0,35.5090826,128.2946559,79.121,-0.6175826787948608,-2.030268669128418,236.26223754882812,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.943249209634928,-4.299897260501008,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94351501531954,-4.301374174394752,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.943781397451741,-4.30285429124277,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.944046747045953,-4.304328670930934,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.944312197993588,-4.305803613775893,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.944578320407645,-4.3072822875346235,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94484370800939,-4.3087568784065855,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.945109431344347,-4.3102333347354325,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.945375553758405,-4.311712008494163,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.945641277093362,-4.31318846482301,-1.3927288458744242
20241113.0,6500730.0,115.0,36.0,35.5090826,128.2946559,79.124,-0.7062788009643555,-1.8449318408966064,236.55723571777344,159.0,-52.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9459065950146295,-4.314662668524674,-1.3927288458744242
